Gx,Gy,Tx,Ty,,D6S8S,D7S9S,D2S3S,D4S5S,D2S5S,D3S4S,D6T8T,D7T9T,D2T3T,D4T5T,D2T5T,D3T4T,,FS_1S,FS_1T,FS_2S,FS_2T,FS_3S,FS_3T,FS_4S,FS_4T,FS_5S,FS_5T,FS_6S,FS_6T,FS_7S,FS_7T,FS_8S,FS_8T,FS_9S,FS_9T,FS_Ave_S_G2 [2 3 4 5],FS_Ave_T_G2 [2 3 4 5],FS_Ave_S_G3 [6 7 8 9],FS_Ave_T_G3 [6 7 8 9],FS_Delta_S_G2 [2 3 4 5],FS_Delta_T_G2 [2 3 4 5],FS_Delta_S_G3 [6 7 8 9],FS_Delta_T_G3 [6 7 8 9],PeakMTF_1S,PeakMTF_1T,PeakMTF_2S,PeakMTF_2T,PeakMTF_3S,PeakMTF_3T,PeakMTF_4S,PeakMTF_4T,PeakMTF_5S,PeakMTF_5T,PeakMTF_6S,PeakMTF_6T,PeakMTF_7S,PeakMTF_7T,PeakMTF_8S,PeakMTF_8T,PeakMTF_9S,PeakMTF_9T,Date-Time
0,0,0,0,,2,-1.6,-13.8,4,-7.8,2,-0.6,-0.6,1,1,-5.2,-7.2,,--,-1.8,-9.2,13.2,4.6,12.2,2.6,19.4,-1.4,18.4,-3.6,1.8,-6.8,6,-5.6,2.4,-5.2,6.6,-0.9,15.8,-5.3,4.2,13.8,7.2,3.2,4.8,70.4,72.6,68.6,63.4,70.4,52.9,62.3,49,69,59.4,67.3,69.5,68.6,66.6,65.1,67.9,69.7,66.2,2025/05/22/16:38:53
-0.08,0,0,0,,40.2,-0.6,20.8,-30.8,-8,2,29.4,-0.6,34.6,-22.6,-2.2,-14.2,,--,-1.8,8,28.2,-12.8,-6.4,-14.8,7.8,16,30.4,15,17,-7.6,6,-25.2,-12.4,-7,6.6,-0.9,15,-6.2,4.3,30.8,36.8,40.2,29.4,71.1,72.5,65.2,57.5,70,55.4,62,50.8,65.7,56.4,66.7,66.7,69,67.5,65.2,67.9,70.2,66.5,2025/05/22/16:39:03
-0.04,0,0,0,,21.4,-1.2,2.8,-13.4,-8.4,2.2,15,-1,18.8,-11.8,-3.6,-10.6,,--,-1.6,-0.8,21.8,-3.6,3,-5.8,13.6,7.6,25.4,6,10,-6.8,5.8,-15.4,-5,-5.6,6.8,-0.7,15.9,-5.5,4.4,13.4,22.4,21.4,15,71.4,73.3,67.1,61.5,70.7,54,62.6,50.4,68.4,58.6,67.4,68.5,70,67.3,65.3,68.9,70.9,66.5,2025/05/22/16:39:13
0,0,0,0,,2.6,-1.2,-14.8,4,-8.2,2.6,-0.6,-0.8,1.4,1.4,-5,-7.8,,--,-2,-10,13.6,4.8,12.2,2.2,20,-1.8,18.6,-3.6,1.6,-7.6,5.2,-6.2,2.2,-6.4,6,-1.2,16.1,-5.9,3.8,14.8,7.8,4,4.4,71.2,73.1,68.6,63.7,70.2,52.8,62.1,49.3,69.7,59.3,67.2,69.5,69.3,66.5,65,67.1,69.6,65.7,2025/05/22/16:39:22
0.04,0,0,0,,-17.8,-1.2,-32.8,20.4,-9.8,2.6,-17.2,0,-13.2,12.8,-5,-4.6,,--,-2,-18.8,7.2,14,20.4,11.4,25,-9,12.2,-13.8,-5.8,-7.2,6.2,4,11.4,-6,6.2,-0.6,16.2,-5.8,4.5,32.8,17.8,17.8,17.2,69.1,70.9,67.5,63.4,68.5,51.3,60.1,47.5,68.8,58.8,66.1,68.3,65.4,64.2,62.5,65,66.7,64.4,2025/05/22/16:39:32
0.08,0,0,0,,-37,-3,-52.2,38,-10.4,3.8,-34.6,-0.2,-31.4,24.2,-5.6,1.6,,--,-2,-29,0.2,23.2,31.6,19.4,30,-18.6,5.8,-23.6,-13.8,-9.4,6.2,13.4,20.8,-6.4,6.4,-1.3,16.9,-6.5,4.9,52.2,31.4,37,34.6,67,68,64.6,61.8,64,47.8,57.1,43.4,65.3,56.8,63.5,64.2,59.9,60.9,59.6,60.4,62.2,61.9,2025/05/22/16:39:42
0,-0.08,0,0,,-0.4,-42.4,-14.6,5,-45.4,-35.8,-3,-32.6,3.2,2.4,-31,-36.6,,--,-3.6,-29,-1.8,-14.4,-5,21.4,31.6,16.4,29.2,-4.2,0,-28.6,-9.6,-3.8,3,13.8,23,-1.4,13.5,-5.7,4.1,50.4,36.6,42.4,32.6,69.8,71.4,67.7,64.6,65.3,56.6,67.3,50.4,70.2,60.9,65.2,67.2,69.8,68.4,64.2,65.5,69,69.4,2025/05/22/16:39:52
0,-0.04,0,0,,-0.4,-22,-16.2,5.4,-27,-16.2,-3.4,-17.4,1.2,2.2,-18.4,-21.8,,--,-2.8,-20.2,4.8,-4,3.6,12.2,25.4,6.8,23.2,-5,-0.4,-18.4,-2.6,-4.6,3,3.6,14.8,-1.3,14.2,-6.1,3.7,32.4,21.8,22,17.4,70.9,72.8,68.8,64.9,68.6,54.9,65,50,69.8,60.9,66.9,68.3,69.5,68.9,65.2,66.9,69.7,67.9,2025/05/22/16:40:01
0,0,0,0,,0,-0.8,-17,5.2,-9,2.8,-3.2,-1.2,-0.4,2.4,-5.2,-7.2,,--,-1.8,-10.6,12.8,6.4,13.2,3.6,20.4,-1.6,18,-4.8,1.2,-6.8,6,-4.8,4.4,-6,7.2,-0.5,16.1,-5.6,4.7,17,7.6,2,6,70.8,73.4,68.5,63.4,70.1,52.7,62.1,49.2,69.7,59.2,67.1,69.3,68.4,66.2,64.5,67,69.1,66.1,2025/05/22/16:40:11
0,0.04,0,0,,-0.2,18.2,-18.8,4.4,8.2,22.6,-3,16,-0.8,1.4,9.2,8.6,,--,-0.2,-1.8,22.2,17,23,-5.6,14.4,-10,13,-5.2,2,4.2,14.6,-5,5,-14,-1.4,-0.1,18.1,-5,5.1,27,10,18.2,16,69.3,72.3,65.5,60.7,70,49.6,58.4,47.3,68,56.4,66.3,68.8,65.8,61.9,62.8,66.7,68.2,62.6,2025/05/22/16:40:20
0,0.08,0,0,,0.6,39.2,-20.6,3.6,26.6,43.6,-3.2,33.8,-4.6,2.4,24.4,26.6,,--,0.6,6,29.4,26.6,34,-17,7.4,-20.6,5,-6.2,2.8,14.6,22.2,-6.8,6,-24.6,-11.6,-1.3,19,-5.8,4.9,47.2,29,39.2,33.8,66.6,70.9,61.1,56,68.3,46.5,53.9,45.2,64.5,53.7,63.7,68.3,62.4,55.8,59.4,64.4,66,58.6,2025/05/22/16:40:30
0,0,-0.5,0,,3.2,-2.8,-13.8,-1,-11.6,3.2,4.4,-0.8,4.2,-15.6,-7.6,3.8,,--,-2,-10.2,20.2,3.6,16,0.4,12.2,1.4,27.8,-3.4,6.4,-9.4,6.4,-6.6,2,-6.6,7.2,-1.2,19,-6.5,5.5,13.8,15.6,6,5.2,67.8,68,63.9,60.6,62.6,46.4,57,41.5,65.1,56.4,63.7,63.8,59,61.6,57.5,56,61.2,62.4,2025/05/22/16:40:41
0,0,-0.25,0,,0.2,-0.8,-15,2.2,-10.2,2.6,1.2,-0.6,1.6,-7,-5.8,-0.4,,--,-2,-10.2,15.8,4.8,14.2,2.2,14.6,0,21.6,-4.8,3.4,-6.8,6.4,-5,2.2,-6,7,-0.8,16.6,-5.7,4.8,15,7.4,2,4.8,69,70.7,66.5,63.3,67.1,49.7,60.8,45.7,68,58.5,65.6,67.5,64.6,64.5,61.6,63.1,65.4,64.9,2025/05/22/16:40:51
0,0,0,0,,-1,-0.8,-17.4,5.8,-9.2,2.4,-4.2,0.6,-2.2,2.8,-5.8,-6.4,,--,-1.8,-10.8,12.2,6.6,14.4,4.2,20.8,-1.6,18,-5.2,0.4,-6.8,6.8,-4.2,4.6,-6,6.2,-0.4,16.4,-5.5,4.5,17.4,8.6,2.6,6.4,70.7,72.9,68,63.5,69.9,52.2,62,49.2,68.9,59.6,67.2,69.4,67.8,66.3,64.8,67.2,68.3,65.6,2025/05/22/16:41:01
0,0,0.25,0,,-3,-2.6,-20.2,9.2,-8.6,2.4,-9,-0.8,-3.2,11.2,-3.6,-11.6,,--,-2,-12.2,9.6,8,12.8,5.6,24.4,-3.6,13.2,-6.4,-2,-8,6.2,-3.4,7,-5.4,7,-0.6,15,-5.8,4.5,20.2,14.8,4.6,9,71.3,73.1,67.7,61.7,71.2,54.7,62.2,49.8,68.9,58.5,67.5,68.9,68.8,67.3,65.6,68.9,70.7,66.7,2025/05/22/16:41:09
